"Wavelength (nm)", "Reflectance"
743.07, 0.713917
743.76, 0.708953
744.46, 0.703532
745.15, 0.697485
745.85, 0.690695
746.54, 0.683147
747.23, 0.675204
747.93, 0.666732
748.62, 0.657957
749.32, 0.648719
750.01, 0.639217
750.71, 0.629851
751.4, 0.620433
752.09, 0.610947
752.79, 0.601814
753.48, 0.59291
754.18, 0.584592
754.87, 0.577075
755.56, 0.570268
756.26, 0.564511
756.95, 0.559886
757.64, 0.556559
758.34, 0.554841
759.03, 0.554574
759.72, 0.555716
760.42, 0.558348
761.11, 0.5624
761.8, 0.567891
762.5, 0.574402
763.19, 0.581962
763.88, 0.590537
764.57, 0.599938
765.27, 0.609698
765.96, 0.61985
766.65, 0.630439
767.34, 0.641201
768.04, 0.652005
768.73, 0.66251
769.42, 0.672687
770.11, 0.682851
770.81, 0.692645
771.5, 0.70195
772.19, 0.710867
772.88, 0.718866
773.57, 0.726011
774.26, 0.732455
774.96, 0.738163
775.65, 0.742946
776.34, 0.74675
777.03, 0.749609
777.72, 0.751928
778.41, 0.753607
779.1, 0.754837
779.8, 0.755325
780.49, 0.755414
781.18, 0.754879
781.87, 0.753732
782.56, 0.751918
783.25, 0.749612
783.94, 0.746857
784.63, 0.743605
785.32, 0.7392
786.01, 0.733968
786.7, 0.72814
787.39, 0.721862
788.08, 0.715173
788.77, 0.707619
789.46, 0.69931
790.15, 0.691021
790.84, 0.682649
791.53, 0.67382
792.22, 0.664222
792.91, 0.653827
793.6, 0.642867
794.29, 0.631355
794.98, 0.618893
795.67, 0.605414
796.36, 0.591235
797.05, 0.576245
797.74, 0.560637
798.43, 0.54421
799.12, 0.52698
799.81, 0.509005
800.5, 0.490567
801.19, 0.471429
801.87, 0.451927
802.56, 0.432012
803.25, 0.411566
803.94, 0.390785
804.63, 0.369971
805.32, 0.349181
806.01, 0.328471
806.69, 0.308063
807.38, 0.288126
808.07, 0.268893
808.76, 0.250624
809.45, 0.233468
810.13, 0.217465
810.82, 0.20273
811.51, 0.189642
812.2, 0.178374
812.88, 0.168959
813.57, 0.161651
814.26, 0.156416
814.95, 0.153314
815.63, 0.152532
816.32, 0.15413
817.01, 0.157885
817.7, 0.163638
818.38, 0.171378
819.07, 0.180689
819.76, 0.191329
820.44, 0.203075
821.13, 0.215471
821.82, 0.228189
822.5, 0.241099
823.19, 0.253996
823.88, 0.266734
824.56, 0.279359
825.25, 0.291993
825.94, 0.304474
826.62, 0.31681
827.31, 0.329025
827.99, 0.341093
828.68, 0.352902
829.37, 0.364284
830.05, 0.375114
830.74, 0.385271
831.42, 0.394642
832.11, 0.403185
832.79, 0.410828
833.48, 0.417522
834.17, 0.423189
834.85, 0.427781
835.54, 0.431413
836.22, 0.434005
836.91, 0.435559
837.59, 0.436137
838.28, 0.435873
838.96, 0.434623
839.65, 0.432484
840.33, 0.429597
841.02, 0.426019
841.7, 0.42157
842.38, 0.416479
843.07, 0.410808
843.75, 0.404564
844.44, 0.397503
845.12, 0.389738
845.81, 0.381353
846.49, 0.372095
847.17, 0.362223
847.86, 0.351878
848.54, 0.340887
849.23, 0.329293
849.91, 0.317143
850.59, 0.30463
851.28, 0.291971
851.96, 0.278956
852.64, 0.265907
853.33, 0.252669
854.01, 0.23931
854.69, 0.226051
855.38, 0.212889
856.06, 0.199767
856.74, 0.186759
857.42, 0.173881
858.11, 0.161275
858.79, 0.149035
859.47, 0.137135
860.16, 0.125625
860.84, 0.114374
861.52, 0.103524
862.2, 0.093218
862.89, 0.083474
863.57, 0.074295
864.25, 0.065774
864.93, 0.057651
865.61, 0.050204
866.3, 0.043376
866.98, 0.037159
867.66, 0.031597
868.34, 0.026818
869.02, 0.022672
869.7, 0.019101
870.39, 0.016143
871.07, 0.013888
871.75, 0.012169
872.43, 0.010983
873.11, 0.010389
873.79, 0.010378
874.47, 0.010781
875.15, 0.011697
875.83, 0.013024
876.52, 0.014724
877.2, 0.016778
877.88, 0.01915
878.56, 0.021742
879.24, 0.024516
879.92, 0.027355
880.6, 0.030208
881.28, 0.033114
881.96, 0.03612
882.64, 0.039146
883.32, 0.042177
884, 0.045238
884.68, 0.048368
885.36, 0.051619
886.04, 0.054978
886.72, 0.058505
887.4, 0.062103
888.08, 0.065751
888.76, 0.069464
889.44, 0.073214
890.12, 0.076956
890.8, 0.080697
891.47, 0.084388
892.15, 0.087985
892.83, 0.091431
893.51, 0.09477
894.19, 0.098003
894.87, 0.101085
895.55, 0.104064
896.23, 0.106947
896.91, 0.109688
897.58, 0.112309
898.26, 0.114829
898.94, 0.11731
899.62, 0.119793
900.3, 0.122223
900.98, 0.124607
901.65, 0.127014
902.33, 0.129379
903.01, 0.131689
903.69, 0.133958
904.36, 0.13613
905.04, 0.138257
905.72, 0.140366
906.4, 0.14244
907.08, 0.14449
907.75, 0.146582
908.43, 0.148695
909.11, 0.150797
909.78, 0.152932
910.46, 0.155163
911.14, 0.157483
911.82, 0.159827
912.49, 0.16216
913.17, 0.164461
913.85, 0.166719
914.52, 0.168915
915.2, 0.170975
915.88, 0.172914
916.55, 0.174766
917.23, 0.176517
917.9, 0.17815
918.58, 0.179725
919.26, 0.181173
919.93, 0.182546
920.61, 0.183868
921.28, 0.185107
921.96, 0.186274
922.64, 0.187322
923.31, 0.188405
923.99, 0.189347
925.34, 0.190913
927.02, 0.191927
928.38, 0.191998
930.07, 0.191204
931.75, 0.189043
933.11, 0.186222
934.79, 0.181692
936.47, 0.175819
938.15, 0.168861
939.83, 0.160463
941.2, 0.152411
942.87, 0.14192
944.54, 0.130127
945.92, 0.119373
947.59, 0.106406
949.26, 0.093442
950.64, 0.082519
952.31, 0.070764
953.97, 0.06078
955.64, 0.052893
957.3, 0.048056
958.69, 0.046911
960.35, 0.049468
962.01, 0.056842
963.4, 0.067262
965.06, 0.083154
966.72, 0.104092
968.12, 0.124982
969.77, 0.152538
971.43, 0.181791
973.08, 0.212679
974.73, 0.243465
976.14, 0.269555
977.78, 0.297097
979.43, 0.323086
980.85, 0.343634
982.49, 0.367046
984.13, 0.389086
985.56, 0.407778
987.2, 0.427688
988.84, 0.443686
990.48, 0.456082
992.11, 0.467107
993.54, 0.475259
995.18, 0.48322
996.81, 0.49103
998.25, 0.497201
999.88, 0.501989
1001.52, 0.504073
1003.14, 0.504022
1004.77, 0.50216
1006.22, 0.499407
1007.84, 0.494429
1009.47, 0.487865
1010.92, 0.480797
1012.55, 0.471501
1014.17, 0.460506
1015.79, 0.448516
1017.41, 0.435347
1018.87, 0.422491
1020.49, 0.406839
1022.1, 0.390286
1023.57, 0.374077
1025.19, 0.355576
1026.8, 0.336685
1028.41, 0.31827
1030.02, 0.300596
1031.5, 0.286113
1033.11, 0.272481
1034.72, 0.26177
1036.2, 0.255061
1037.81, 0.25172
1039.42, 0.253161
1041.02, 0.259697
1042.63, 0.271171
1044.12, 0.285773
1045.72, 0.305947
1047.32, 0.329749
1048.92, 0.356536
1050.52, 0.385141
1052.02, 0.413323
1053.62, 0.443552
1055.21, 0.473639
1056.72, 0.501282
1058.32, 0.528952
1059.91, 0.554309
1061.5, 0.577617
1063.09, 0.598555
1064.61, 0.616283
1066.2, 0.632665
1067.79, 0.647274
1069.38, 0.660056
1070.96, 0.671034
1072.49, 0.680204
1074.08, 0.688296
1075.66, 0.694705
1077.24, 0.699218
1078.82, 0.702506
1080.36, 0.704733
1081.94, 0.706144
1083.52, 0.706593
1085.07, 0.705916
1086.65, 0.704662
1088.22, 0.702439
1089.8, 0.699465
1091.37, 0.69548
1092.93, 0.690577
1094.5, 0.684761
1096.08, 0.678462
1097.65, 0.670976
1099.22, 0.662656
1100.79, 0.653121
1102.36, 0.642772
1103.92, 0.630917
1105.49, 0.617877
1107.06, 0.603337
1108.63, 0.588591
1110.2, 0.572548
1111.77, 0.55546
1113.33, 0.536853
1114.9, 0.518403
1116.47, 0.49959
1118.03, 0.481057
1119.6, 0.462479
1121.17, 0.44582
1122.73, 0.431527
1124.3, 0.420617
1125.87, 0.413229
1127.43, 0.409965
1129, 0.41157
1130.56, 0.418048
1132.13, 0.429532
1133.69, 0.445164
1135.26, 0.465674
1136.82, 0.488595
1138.39, 0.514993
1139.95, 0.542453
1141.51, 0.571746
1143.08, 0.599809
1144.64, 0.627826
1146.2, 0.65332
1147.77, 0.677699
1149.33, 0.699098
1150.89, 0.719099
1152.45, 0.736311
1154.02, 0.752114
1155.58, 0.764969
1157.14, 0.776391
1158.7, 0.786101
1160.26, 0.794728
1161.82, 0.80131
1163.39, 0.806554
1164.95, 0.810556
1166.51, 0.814568
1168.07, 0.817883
1169.63, 0.8201
1171.19, 0.821838
1172.75, 0.823683
1174.31, 0.824898
1175.87, 0.825873
1177.42, 0.826022
1178.98, 0.825372
1180.54, 0.824587
1182.1, 0.823135
1183.66, 0.820476
1185.22, 0.816816
1186.77, 0.812144
1188.33, 0.806576
1189.89, 0.800331
1191.45, 0.793267
1193, 0.785373
1194.56, 0.776516
1196.12, 0.767279
1197.67, 0.757201
1199.23, 0.746071
1200.79, 0.733519
1202.34, 0.719542
1203.9, 0.703861
1205.45, 0.687137
1207.01, 0.668895
1208.56, 0.649688
1210.12, 0.62975
1211.67, 0.610445
1213.23, 0.592434
1214.78, 0.577484
1216.33, 0.566558
1217.89, 0.561047
1219.44, 0.562052
1220.99, 0.570264
1222.55, 0.585424
1224.1, 0.606742
1225.65, 0.633279
1227.21, 0.663119
1228.76, 0.69475
1230.31, 0.726495
1231.86, 0.756668
1233.41, 0.784221
1234.96, 0.808427
1236.52, 0.829111
1238.07, 0.846025
1239.62, 0.85987
1241.17, 0.870688
1242.72, 0.87927
1244.27, 0.885694
1245.82, 0.890095
1247.37, 0.892833
1248.92, 0.894318
1250.47, 0.89516
1252.02, 0.895505
1253.57, 0.8958
1255.11, 0.895697
1256.66, 0.89532
1258.21, 0.894966
1259.76, 0.894458
1261.31, 0.893932
1262.86, 0.893625
1264.4, 0.892743
1265.95, 0.891929
1267.5, 0.890063
1269.04, 0.888323
1270.59, 0.886038
1272.14, 0.883504
1273.68, 0.881254
1275.23, 0.878834
1276.78, 0.876052
1278.32, 0.872875
1279.87, 0.869011
1281.41, 0.865862
1282.96, 0.862578
1284.5, 0.859203
1286.05, 0.855766
1287.59, 0.852307
1289.13, 0.848968
1290.68, 0.845913
1292.22, 0.843228
1293.77, 0.841133
1295.31, 0.838284
1296.85, 0.835057
1298.4, 0.832074
1299.94, 0.829041
1301.48, 0.825874
1303.02, 0.823054
1304.57, 0.819936
1306.11, 0.816892
1307.65, 0.81334
1309.19, 0.810638
1310.73, 0.808199
1312.27, 0.805661
1313.81, 0.802928
1315.35, 0.800577
1316.9, 0.79785
1318.44, 0.795508
1319.98, 0.793271
1321.52, 0.790938
1323.06, 0.78809
1324.59, 0.785073
1326.13, 0.781681
1327.67, 0.778374
1329.21, 0.774496
1330.75, 0.770357
1332.29, 0.765974
1333.83, 0.761389
1335.36, 0.75672
1336.9, 0.752239
1338.44, 0.747722
1339.98, 0.743246
1341.51, 0.738562
1343.05, 0.734107
1344.59, 0.72986
1346.13, 0.725781
1347.66, 0.72147
1349.2, 0.717094
1350.73, 0.712679
1352.27, 0.708374
1353.8, 0.704015
1355.34, 0.699879
1356.88, 0.696144
1358.41, 0.692445
1359.94, 0.688602
1361.48, 0.684835
1363.01, 0.681205
1364.55, 0.677405
1366.08, 0.673553
1367.62, 0.66951
1369.15, 0.665302
1370.68, 0.660963
1372.22, 0.656236
1373.75, 0.65111
1375.28, 0.646093
1376.81, 0.64099
1378.35, 0.635827
1379.88, 0.630538
1381.41, 0.625128
1382.94, 0.619663
1384.47, 0.614262
1386, 0.608785
1387.53, 0.603258
1389.07, 0.597633
1390.6, 0.591982
1392.13, 0.585819
1393.66, 0.579599
1395.19, 0.573055
1396.72, 0.566709
1398.25, 0.560337
1399.77, 0.553974
1401.3, 0.547478
1402.83, 0.540885
1404.36, 0.53404
1405.89, 0.527493
1407.42, 0.520837
1408.95, 0.514455
1410.47, 0.507994
1412, 0.50174
1413.53, 0.495234
1415.06, 0.488599
1416.58, 0.48156
1418.11, 0.474535
1419.64, 0.467379
1421.16, 0.460598
1422.69, 0.453553
1424.22, 0.446343
1425.74, 0.438786
1427.27, 0.431288
1428.79, 0.423626
1430.32, 0.416131
1431.84, 0.408391
1433.37, 0.400874
1434.89, 0.393187
1436.42, 0.38556
1437.94, 0.377678
1439.47, 0.369875
1440.99, 0.361977
1442.51, 0.354257
1444.04, 0.346475
1445.56, 0.338646
1447.08, 0.330624
