"Wavelength (nm)", "Reflectance"
702.64, 0.761822
703.34, 0.76927
704.04, 0.775837
704.74, 0.78132
705.43, 0.785698
706.13, 0.789158
706.83, 0.791785
707.53, 0.793392
708.23, 0.794124
708.93, 0.794262
709.63, 0.793744
710.32, 0.792437
711.02, 0.790543
711.72, 0.788131
712.42, 0.785025
713.12, 0.781055
713.82, 0.776291
714.51, 0.770749
715.21, 0.764429
715.91, 0.757314
716.61, 0.749476
717.3, 0.740905
718, 0.731837
718.7, 0.722322
719.4, 0.712437
720.09, 0.702153
720.79, 0.691563
721.49, 0.680832
722.19, 0.670256
722.88, 0.659821
723.58, 0.649645
724.28, 0.639903
724.97, 0.631023
725.67, 0.623053
726.37, 0.615742
727.06, 0.609602
727.76, 0.604979
728.46, 0.602083
729.15, 0.60057
729.85, 0.600514
730.55, 0.602168
731.24, 0.605479
731.94, 0.610129
732.63, 0.615962
733.33, 0.622832
734.03, 0.630858
734.72, 0.63943
735.42, 0.648386
736.11, 0.657711
736.81, 0.666736
737.5, 0.675519
738.2, 0.683999
738.9, 0.691958
739.59, 0.699616
740.29, 0.706758
740.98, 0.713315
741.68, 0.719369
742.37, 0.724761
743.07, 0.729279
743.76, 0.733182
744.46, 0.736173
745.15, 0.738624
745.85, 0.739962
746.54, 0.740598
747.23, 0.740456
747.93, 0.739946
748.62, 0.738426
749.32, 0.736149
750.01, 0.732856
750.71, 0.729303
751.4, 0.725281
752.09, 0.720376
752.79, 0.714488
753.48, 0.708347
754.18, 0.701947
754.87, 0.694806
755.56, 0.687327
756.26, 0.679419
756.95, 0.671311
757.64, 0.662953
758.34, 0.654221
759.03, 0.645186
759.72, 0.636392
760.42, 0.627372
761.11, 0.618547
761.8, 0.610112
762.5, 0.602052
763.19, 0.594788
763.88, 0.588496
764.57, 0.583371
765.27, 0.579269
765.96, 0.576303
766.65, 0.574663
767.34, 0.574108
768.04, 0.575108
768.73, 0.577285
769.42, 0.580608
770.11, 0.585314
770.81, 0.591332
771.5, 0.598476
772.19, 0.606953
772.88, 0.616029
773.57, 0.625588
774.26, 0.635634
774.96, 0.646216
775.65, 0.656827
776.34, 0.667432
777.03, 0.677734
777.72, 0.687747
778.41, 0.697448
779.1, 0.707062
779.8, 0.716002
780.49, 0.724155
781.18, 0.731735
781.87, 0.738801
782.56, 0.745246
783.25, 0.751199
783.94, 0.756176
784.63, 0.760078
785.32, 0.763566
786.01, 0.76624
786.7, 0.768246
787.39, 0.769578
788.08, 0.770216
788.77, 0.770308
789.46, 0.769999
790.15, 0.769159
790.84, 0.767747
791.53, 0.765981
792.22, 0.763545
792.91, 0.760726
793.6, 0.75722
794.29, 0.753167
794.98, 0.748466
795.67, 0.743251
796.36, 0.737304
797.05, 0.730847
797.74, 0.723769
798.43, 0.716036
799.12, 0.707683
799.81, 0.698616
800.5, 0.688828
801.19, 0.678505
801.87, 0.667559
802.56, 0.655916
803.25, 0.643612
803.94, 0.630678
804.63, 0.617039
805.32, 0.602777
806.01, 0.587947
806.69, 0.572495
807.38, 0.556554
808.07, 0.540034
808.76, 0.522883
809.45, 0.505077
810.13, 0.486803
810.82, 0.468033
811.51, 0.448663
812.2, 0.42866
812.88, 0.40812
813.57, 0.387212
814.26, 0.366058
814.95, 0.344916
815.63, 0.323808
816.32, 0.302769
817.01, 0.282023
817.7, 0.261751
818.38, 0.242202
819.07, 0.223668
819.76, 0.206491
820.44, 0.190878
821.13, 0.177045
821.82, 0.165316
822.5, 0.155743
823.19, 0.148328
823.88, 0.143105
824.56, 0.139968
825.25, 0.138832
825.94, 0.139532
826.62, 0.142042
827.31, 0.146276
827.99, 0.152207
828.68, 0.159836
829.37, 0.169142
830.05, 0.179964
830.74, 0.192169
831.42, 0.205527
832.11, 0.219896
832.79, 0.234864
833.48, 0.250255
834.17, 0.265769
834.85, 0.28117
835.54, 0.296291
836.22, 0.311004
836.91, 0.325241
837.59, 0.338752
838.28, 0.351633
838.96, 0.363841
839.65, 0.375188
840.33, 0.385748
841.02, 0.395559
841.7, 0.4044
842.38, 0.412313
843.07, 0.419283
843.75, 0.425453
844.44, 0.430657
845.12, 0.434896
845.81, 0.438133
846.49, 0.440329
847.17, 0.441406
847.86, 0.441492
848.54, 0.440785
849.23, 0.439098
849.91, 0.436478
850.59, 0.432805
851.28, 0.428388
851.96, 0.423222
852.64, 0.417399
853.33, 0.411045
854.01, 0.403967
854.69, 0.39607
855.38, 0.387571
856.06, 0.378375
856.74, 0.368693
857.42, 0.358512
858.11, 0.34775
858.79, 0.336573
859.47, 0.324797
860.16, 0.312923
860.84, 0.300566
861.52, 0.288049
862.2, 0.27516
862.89, 0.262128
863.57, 0.249059
864.25, 0.235891
864.93, 0.222734
865.61, 0.209555
866.3, 0.196309
866.98, 0.183315
867.66, 0.170435
868.34, 0.157953
869.02, 0.145661
869.7, 0.133548
870.39, 0.121947
871.07, 0.11071
871.75, 0.100025
872.43, 0.08986
873.11, 0.080169
873.79, 0.071036
874.47, 0.062419
875.15, 0.054438
875.83, 0.047072
876.52, 0.040307
877.2, 0.034175
877.88, 0.028639
878.56, 0.023728
879.24, 0.019505
879.92, 0.015897
880.6, 0.01292
881.28, 0.010566
881.96, 0.008831
882.64, 0.00766
883.32, 0.006976
884, 0.006791
884.68, 0.007051
885.36, 0.007712
886.04, 0.008775
886.72, 0.010216
887.4, 0.012039
888.08, 0.014193
888.76, 0.016692
889.44, 0.01947
890.12, 0.022538
890.8, 0.025863
891.47, 0.029399
892.15, 0.03311
892.83, 0.036924
893.51, 0.04079
894.19, 0.044698
894.87, 0.048551
895.55, 0.052405
896.23, 0.056277
896.91, 0.060104
897.58, 0.063895
898.26, 0.067686
898.94, 0.071496
899.62, 0.075285
900.3, 0.079041
900.98, 0.082793
901.65, 0.086486
902.33, 0.090041
903.01, 0.093449
903.69, 0.096728
904.36, 0.09984
905.04, 0.102717
905.72, 0.105398
906.4, 0.107989
907.08, 0.110464
907.75, 0.112829
908.43, 0.115181
909.11, 0.117566
909.78, 0.119925
910.46, 0.12227
911.14, 0.124644
911.82, 0.127036
912.49, 0.129422
913.17, 0.131724
913.85, 0.133955
914.52, 0.136144
915.2, 0.138226
915.88, 0.140216
916.55, 0.142178
917.23, 0.144111
917.9, 0.145931
918.58, 0.147695
919.26, 0.149462
919.93, 0.151237
920.61, 0.153077
921.28, 0.154902
921.96, 0.156911
922.64, 0.158773
923.31, 0.160936
923.99, 0.16289
925.34, 0.167159
927.02, 0.172667
928.38, 0.176996
930.07, 0.181669
931.75, 0.18572
933.11, 0.188619
934.79, 0.191307
936.47, 0.19318
938.15, 0.194178
939.83, 0.194104
941.2, 0.19321
942.87, 0.191281
944.54, 0.187808
945.92, 0.183965
947.59, 0.178315
949.26, 0.171261
950.64, 0.164031
952.31, 0.154694
953.97, 0.144118
