"Wavelength (nm)", "Reflectance"
873.11, 0.039496
873.79, 0.033556
874.47, 0.028304
875.15, 0.023673
875.83, 0.019696
876.52, 0.016331
877.2, 0.013563
877.88, 0.011406
878.56, 0.009813
879.24, 0.008756
879.92, 0.008218
880.6, 0.008154
881.28, 0.008517
881.96, 0.009266
882.64, 0.010386
883.32, 0.011834
884, 0.013607
884.68, 0.015698
885.36, 0.018083
886.04, 0.020745
886.72, 0.023675
887.4, 0.026863
888.08, 0.030311
888.76, 0.033976
889.44, 0.037817
890.12, 0.041834
890.8, 0.045941
891.47, 0.050109
892.15, 0.05429
892.83, 0.05844
893.51, 0.06253
894.19, 0.066547
894.87, 0.070452
895.55, 0.074255
896.23, 0.077954
896.91, 0.081544
897.58, 0.085054
898.26, 0.088472
898.94, 0.091814
899.62, 0.095132
900.3, 0.09841
900.98, 0.101596
901.65, 0.104679
902.33, 0.107656
903.01, 0.11046
903.69, 0.113109
904.36, 0.11559
905.04, 0.117934
905.72, 0.120161
906.4, 0.122288
907.08, 0.124343
907.75, 0.126327
908.43, 0.128282
909.11, 0.13023
909.78, 0.132227
910.46, 0.134276
911.14, 0.136423
911.82, 0.138653
912.49, 0.140906
913.17, 0.143141
913.85, 0.145297
914.52, 0.147411
915.2, 0.149507
915.88, 0.151548
916.55, 0.153545
917.23, 0.155531
917.9, 0.157431
918.58, 0.159178
919.26, 0.160904
919.93, 0.162669
920.61, 0.164423
921.28, 0.166159
921.96, 0.168057
922.64, 0.169781
923.31, 0.171767
923.99, 0.173557
925.34, 0.177084
927.02, 0.1814
928.38, 0.184544
930.07, 0.187653
931.75, 0.189939
933.11, 0.191183
934.79, 0.191714
936.47, 0.191364
938.15, 0.189996
939.83, 0.18735
941.2, 0.184163
942.87, 0.179316
944.54, 0.172812
945.92, 0.166347
947.59, 0.157661
949.26, 0.147717
950.64, 0.13814
952.31, 0.126301
953.97, 0.113675
955.64, 0.10079
957.3, 0.087676
958.69, 0.076947
960.35, 0.065532
962.01, 0.056293
963.4, 0.050132
965.06, 0.04599
966.72, 0.046115
